N	Z	P1n	P2n	P3n	Element
27	11	0	1.1	0	Na
28	11	0.5	0	2.4	Na
29	11	0	0.4	0	Na
30	11	0.1	0	0.5	Na
31	11	0	0.1	0	Na
32	11	0	0	0.1	Na
33	11	0	0	0	Na
15	12	0	0	0	Mg
16	12	0	0	0	Mg
17	12	0.7	0	0	Mg
18	12	1.1	0	0	Mg
19	12	1.1	0.5	0.1	Mg
20	12	2.3	0.4	0.2	Mg
21	12	7	1.7	0.3	Mg
22	12	19.5	2.9	0.6	Mg
23	12	63.9	17.7	2.8	Mg
24	12	65.4	6.9	12.5	Mg
25	12	8.3	61.1	6.1	Mg
26	12	33.2	29.9	9	Mg
27	12	2.6	31.2	27.4	Mg
28	12	12.1	10	39.5	Mg
29	12	0.9	12.9	5.6	Mg
30	12	6.7	6.8	9.1	Mg
31	12	0	7.1	3	Mg
32	12	2.7	3.2	7.9	Mg
33	12	0	1.8	0	Mg
34	12	0	0.5	1.4	Mg
35	12	0	0.1	0	Mg
15	13	0	0	0	Al
16	13	0	0	0	Al
17	13	0.9	0	0	Al
18	13	1.9	0	0	Al
19	13	1.5	0.6	0	Al
20	13	3.7	0.4	0.1	Al
21	13	10.3	1.6	0.3	Al
22	13	86.5	2.4	0.6	Al
23	13	61.7	30.8	1.2	Al
24	13	67.1	14.3	13.9	Al
25	13	4.1	66.3	16.1	Al
26	13	17.2	40.4	28.1	Al
27	13	1.6	40	16.3	Al
28	13	9.8	7.7	40.2	Al
29	13	0.2	20.7	4.8	Al
30	13	4.9	6.2	23	Al
31	13	0.1	8.3	6.2	Al
32	13	1.2	0.8	18.7	Al
33	13	0	1.7	0	Al
34	13	0.5	0.1	2.2	Al
35	13	0	0.3	0	Al
36	13	0	0	0.2	Al
37	13	0	0	0	Al
17	14	0	0	0	Si
18	14	0	0	0	Si
19	14	0.1	0	0	Si
20	14	0.4	0	0	Si
21	14	1.6	0.6	0	Si
22	14	17	0.6	0.1	Si
23	14	41.4	3	0.4	Si
24	14	55	2	0.8	Si
25	14	32.2	38	1	Si
26	14	45.9	26.7	1.8	Si
27	14	11.5	58	5.1	Si
28	14	17.9	34	23.4	Si
29	14	7.1	21.6	39.8	Si
30	14	11.2	9.7	42.8	Si
31	14	9	11.1	8	Si
32	14	11.5	6	9.5	Si
33	14	6.2	14.9	3.7	Si
34	14	15.2	6.6	6.2	Si
35	14	0	14.4	6.1	Si
36	14	0.7	1.1	7.4	Si
37	14	0	0.3	0.2	Si
38	14	0	0	0.2	Si
39	14	0	0	0	Si
17	15	0	0	0	P
18	15	0	0	0	P
19	15	0	0	0	P
20	15	0.4	0	0	P
21	15	2.4	0.6	0	P
22	15	33.7	0.7	0	P
23	15	61.5	2.3	0.4	P
24	15	67	1.6	0.7	P
25	15	40.3	30.1	0.7	P
26	15	56.9	19.4	1.5	P
27	15	15.1	62.9	2	P
28	15	25.7	45.1	17.1	P
29	15	11.6	42.5	26.8	P
30	15	26.3	6.1	56.5	P
31	15	14.2	17.8	16.7	P
32	15	26.6	7.9	17.4	P
33	15	3	29.3	4.2	P
34	15	12.7	13.6	12.7	P
35	15	0	14.7	6.3	P
36	15	0.9	0.5	10.6	P
37	15	0	0.6	0.2	P
38	15	0.1	0	0.6	P
39	15	0	0.1	0	P
40	15	0	0	0.1	P
41	15	0	0	0	P
19	16	0	0	0	S
21	16	0	0	0	S
22	16	0.3	0	0	S
23	16	1.5	0.4	0	S
24	16	3.7	0.3	0	S
25	16	16.3	1.2	0.3	S
26	16	41.3	0.9	0.4	S
27	16	61.4	3.5	0.5	S
28	16	66.6	2.1	0.7	S
29	16	37.6	30.3	0.7	S
30	16	49.3	17.7	1.5	S
31	16	8.6	53.4	5.6	S
32	16	11.3	37.9	16.7	S
33	16	7.2	15.1	29.7	S
34	16	10.5	4.5	34	S
35	16	7.3	60.8	4.2	S
36	16	18.8	46.6	8.9	S
37	16	1.2	9.7	11.9	S
38	16	4.8	2.4	27.2	S
39	16	0	2.3	1.8	S
40	16	0.5	0.2	1.7	S
41	16	0	0.3	0.1	S
42	16	0	0	0.2	S
43	16	0	0	0	S
19	17	0	0	0	Cl
21	17	0	0	0	Cl
22	17	0.5	0	0	Cl
23	17	1.6	0.3	0	Cl
24	17	2.8	0.2	0	Cl
25	17	3.9	0.8	0.2	Cl
26	17	41.2	0.8	0.3	Cl
27	17	64.5	3.6	0.4	Cl
28	17	74.3	2.3	0.8	Cl
29	17	25.9	49.1	0.6	Cl
30	17	47.4	33.4	1.7	Cl
31	17	13.3	62.6	2.6	Cl
32	17	26.3	37.7	21.9	Cl
33	17	16	22.5	37	Cl
34	17	32.3	5.4	45.1	Cl
35	17	3.1	74.7	4.2	Cl
36	17	12.5	42.6	29.9	Cl
37	17	0.4	14.7	41.1	Cl
38	17	3.4	3.2	64.9	Cl
39	17	0	2.6	1.8	Cl
40	17	0.6	0.1	3.6	Cl
41	17	0	0.5	0	Cl
42	17	0.1	0	0.4	Cl
43	17	0	0.1	0	Cl
44	17	0	0	0.1	Cl
45	17	0	0	0	Cl
19	18	0	0	0	Ar
21	18	0	0	0	Ar
23	18	0	0	0	Ar
24	18	0	0	0	Ar
25	18	0.8	0	0	Ar
26	18	0.9	0	0	Ar
27	18	3.3	0.8	0	Ar
28	18	9.3	0.6	0	Ar
29	18	28	1.7	0.3	Ar
30	18	56.7	1.3	0.5	Ar
31	18	57.9	8.7	0.6	Ar
32	18	56.4	6.5	1	Ar
33	18	6	54.7	1.3	Ar
34	18	11.1	47.6	4	Ar
35	18	45.1	8.9	3	Ar
36	18	40.9	3.5	5.1	Ar
37	18	49.4	28.9	3.3	Ar
38	18	69.1	5	4.6	Ar
39	18	4.7	69.3	8.7	Ar
40	18	11	52.4	17.9	Ar
41	18	0.6	5.1	5.8	Ar
42	18	1.2	1.1	5.1	Ar
43	18	0	1.2	0.8	Ar
44	18	0	0	1.2	Ar
45	18	0	0	0	Ar
23	19	0	0	0	K
24	19	0	0	0	K
25	19	1.1	0	0	K
26	19	1.5	0	0	K
27	19	1.7	0.5	0	K
28	19	13.2	0.6	0	K
29	19	41.2	1.7	0.3	K
30	19	61.8	1.2	0.5	K
31	19	39	5.4	0.4	K
32	19	69.9	2	0.7	K
33	19	33.8	7.9	0.5	K
34	19	79.6	5	1.1	K
35	19	72.2	11.2	1.5	K
36	19	83.8	3.2	4.5	K
37	19	18.4	68.5	3.2	K
38	19	76.3	10.1	5.5	K
39	19	2.2	79.4	6	K
40	19	11.7	56.1	20.5	K
41	19	0.2	6.8	9.9	K
42	19	1	0.8	10.2	K
43	19	0	0.9	0.5	K
44	19	0.3	0	1.1	K
45	19	0	0.2	0	K
46	19	0	0	0.2	K
47	19	0	0	0	K
49	19	0	0	0	K
51	19	0	0	0	K
21	20	0	0	0	Ca
25	20	0	0	0	Ca
27	20	0	0	0	Ca
28	20	0	0	0	Ca
29	20	1	0	0	Ca
30	20	1.6	0	0	Ca
31	20	1.4	0.7	0.1	Ca
32	20	1.8	0.4	0.1	Ca
33	20	2	0.8	0.2	Ca
34	20	2.9	0.5	0.3	Ca
35	20	3	1.2	0.3	Ca
36	20	4	0.6	0.4	Ca
37	20	3.4	3	0.4	Ca
38	20	4.5	1.7	0.6	Ca
39	20	9.8	4.4	1.5	Ca
40	20	6.3	3	2	Ca
41	20	60.7	17.6	2.7	Ca
42	20	70.9	5.4	4.1	Ca
43	20	3	61.5	17.9	Ca
44	20	7	14.4	58.8	Ca
45	20	0.2	4.7	4.2	Ca
46	20	1.8	1.2	6.6	Ca
47	20	0	1.4	0.4	Ca
48	20	0.9	0	2.2	Ca
49	20	0	0.3	0	Ca
50	20	0	0	0.6	Ca
51	20	0	0	0	Ca
53	20	0	0	0	Ca
25	21	0	0	0	Sc
26	21	0	0	0	Sc
27	21	0	0	0	Sc
28	21	0	0	0	Sc
29	21	1.6	0.1	0	Sc
30	21	3.6	0.1	0	Sc
31	21	2.5	0.9	0.1	Sc
32	21	3.9	0.5	0.2	Sc
33	21	2.7	1.1	0.2	Sc
34	21	6	0.6	0.4	Sc
35	21	5	1.7	0.3	Sc
36	21	13	0.9	0.5	Sc
37	21	11.5	3.4	0.4	Sc
38	21	27	1.8	0.7	Sc
39	21	68.7	6.7	1.1	Sc
40	21	75.1	2.8	2.2	Sc
41	21	13.9	74.2	2.9	Sc
42	21	61.9	24.2	5.9	Sc
43	21	0.9	67.9	17.2	Sc
44	21	4.7	8.1	73.3	Sc
45	21	0.1	4.2	5.4	Sc
46	21	1.3	0.6	11.1	Sc
47	21	0	1.4	0.2	Sc
48	21	0.6	0	2	Sc
49	21	0	0.6	0	Sc
50	21	0.2	0	0.7	Sc
51	21	0	0.2	0	Sc
52	21	0	0	0.2	Sc
53	21	0	0	0	Sc
55	21	0	0	0	Sc
29	22	0	0	0	Ti
30	22	0	0	0	Ti
31	22	0.9	0	0	Ti
32	22	1	0	0	Ti
33	22	1.2	0.5	0	Ti
34	22	1.6	0.3	0	Ti
35	22	1.4	0.7	0.2	Ti
36	22	2	0.4	0.3	Ti
37	22	2.4	0.9	0.3	Ti
38	22	2.9	0.5	0.3	Ti
39	22	4.3	1.5	0.3	Ti
40	22	4.3	0.7	0.4	Ti
41	22	12.8	4.3	0.7	Ti
42	22	13.8	3.2	1.2	Ti
43	22	66.9	11.2	3.3	Ti
44	22	64.3	3.4	4.6	Ti
45	22	10.9	69.7	3.5	Ti
46	22	62.2	13.2	4.2	Ti
47	22	2.4	50.3	24.9	Ti
48	22	9.9	28.8	39.6	Ti
49	22	0.9	8.2	8.3	Ti
50	22	3.4	3.9	21.5	Ti
51	22	0	4.2	0.4	Ti
52	22	1.9	0.9	4.3	Ti
53	22	0	1.3	0.2	Ti
54	22	0.8	0.1	1.8	Ti
55	22	0	0.3	0	Ti
56	22	0	0	0.7	Ti
57	22	0	0	0	Ti
29	23	0	0	0	V
30	23	0	0	0	V
31	23	1.7	0	0	V
32	23	2.4	0	0	V
33	23	2	0.7	0	V
34	23	3.2	0.4	0	V
35	23	2.5	0.9	0.2	V
36	23	4.3	0.5	0.3	V
37	23	4.4	1.1	0.3	V
38	23	6.4	0.6	0.4	V
39	23	8.5	1.8	0.4	V
40	23	11.2	0.9	0.5	V
41	23	62.4	5.5	0.6	V
42	23	82.9	3.5	1.3	V
43	23	50.3	38.6	2.5	V
44	23	80.8	6.9	5	V
45	23	4.3	81.2	3.3	V
46	23	31.3	50	8.1	V
47	23	1.2	61.8	19.4	V
48	23	7.1	13	64.5	V
49	23	0.3	9.8	9.9	V
50	23	2.4	1.9	31.6	V
51	23	0	4.2	0.4	V
52	23	1	0.3	5.3	V
53	23	0	1.2	0	V
54	23	0.4	0	1.6	V
55	23	0	0.4	0	V
56	23	0.1	0	0.5	V
57	23	0	0.1	0	V
58	23	0	0	0.1	V
59	23	0	0	0	V
27	24	0	0	0	Cr
31	24	0	0	0	Cr
32	24	0	0	0	Cr
33	24	0.3	0	0	Cr
34	24	0	0	0	Cr
35	24	1.1	0.2	0	Cr
36	24	1.4	0	0	Cr
37	24	1.4	0.6	0.1	Cr
38	24	1.7	0.4	0	Cr
39	24	2.1	0.7	0.2	Cr
40	24	2.1	0.4	0.3	Cr
41	24	4.7	1.2	0.3	Cr
42	24	5.9	0.8	0.4	Cr
43	24	12	4	0.5	Cr
44	24	11.3	2.3	0.8	Cr
45	24	53.1	6.5	1.8	Cr
46	24	29.7	3.7	2.8	Cr
47	24	63.1	13.3	3.7	Cr
48	24	59.8	3.1	5.5	Cr
49	24	14.6	63.5	2.5	Cr
50	24	57.1	17.4	4.3	Cr
51	24	2.6	64.6	8.8	Cr
52	24	9	28.2	38.8	Cr
53	24	1.2	9	11.2	Cr
54	24	3.3	3.7	20.5	Cr
55	24	0.1	3.8	1.3	Cr
56	24	2.4	0.7	4.2	Cr
57	24	0	1.6	0.6	Cr
58	24	1.4	0.4	1.8	Cr
59	24	0	0.3	0	Cr
60	24	0	0	0.6	Cr
61	24	0	0	0	Cr
31	25	0	0	0	Mn
32	25	0	0	0	Mn
33	25	0	0	0	Mn
34	25	0.9	0	0	Mn
35	25	1.8	0.3	0	Mn
36	25	2.5	0	0	Mn
37	25	2.1	0.8	0.1	Mn
38	25	3.1	0.5	0.1	Mn
39	25	3.7	0.9	0.3	Mn
40	25	4.7	0.5	0.3	Mn
41	25	8.2	1.6	0.3	Mn
42	25	20.6	1	0.5	Mn
43	25	59.4	5.1	0.5	Mn
44	25	80	3.2	0.9	Mn
45	25	75.8	11.1	1.2	Mn
46	25	82.9	4.8	2.9	Mn
47	25	36.2	49.8	4.1	Mn
48	25	78.4	6.2	6.7	Mn
49	25	7.7	75.3	2.7	Mn
50	25	26.7	52	7.9	Mn
51	25	1.2	69.7	8.7	Mn
52	25	5	8.7	66.1	Mn
53	25	0.2	7.6	8.1	Mn
54	25	1.8	1.6	13.9	Mn
55	25	0	2.8	1	Mn
56	25	0.9	0.1	4.8	Mn
57	25	0	0.9	0	Mn
58	25	0.4	0	1.7	Mn
59	25	0	0.3	0	Mn
60	25	0.1	0	0.4	Mn
61	25	0	0.1	0	Mn
62	25	0	0	0.1	Mn
63	25	0	0	0	Mn
29	26	0	0	0	Fe
33	26	0	0	0	Fe
34	26	0	0	0	Fe
35	26	0	0	0	Fe
36	26	0	0	0	Fe
37	26	0.8	0	0	Fe
38	26	0.6	0	0	Fe
39	26	1.2	0.4	0	Fe
40	26	1.4	0.1	0	Fe
41	26	1.8	0.7	0.2	Fe
42	26	2.7	0.5	0.2	Fe
43	26	5.6	1.1	0.3	Fe
44	26	6.6	0.7	0.4	Fe
45	26	8.8	2.3	0.4	Fe
46	26	9.6	1.2	0.5	Fe
47	26	13.5	6.7	0.6	Fe
48	26	12	4.5	1	Fe
49	26	47.7	9.3	2.7	Fe
50	26	40	6.8	4.5	Fe
51	26	48	20.8	6.3	Fe
52	26	62	10.1	8.5	Fe
53	26	5.8	63.7	7.3	Fe
54	26	12.6	43	19.2	Fe
55	26	1.7	14.2	34.1	Fe
56	26	5	7.5	48	Fe
57	26	1	5.6	4.3	Fe
58	26	2.9	2.8	13.3	Fe
59	26	0	4.3	0.4	Fe
60	26	2.7	0.7	4.1	Fe
61	26	0	0.9	0.2	Fe
62	26	0.7	0	2.6	Fe
63	26	0	0.1	0	Fe
64	26	0	0	0.3	Fe
65	26	0	0	0	Fe
33	27	0	0	0	Co
34	27	0	0	0	Co
35	27	0	0	0	Co
36	27	0	0	0	Co
37	27	1.4	0	0	Co
38	27	1.6	0	0	Co
39	27	1.9	0.5	0	Co
40	27	2.5	0.2	0	Co
41	27	2.9	0.9	0.2	Co
42	27	7.1	0.6	0.3	Co
43	27	10.6	1.4	0.3	Co
44	27	22.5	0.9	0.5	Co
45	27	30.5	3.6	0.4	Co
46	27	64.1	1.8	0.7	Co
47	27	63.6	10.7	0.6	Co
48	27	72.8	7.9	1.2	Co
49	27	64.6	17.3	2.3	Co
50	27	70.4	9.9	7.3	Co
51	27	11.9	64	9.1	Co
52	27	22.8	51.6	15.1	Co
53	27	1.5	58.2	16.2	Co
54	27	5.6	8.2	60.4	Co
55	27	0.4	10	10.9	Co
56	27	3	2.4	24.5	Co
57	27	0	6	1.5	Co
58	27	1.5	1	11.5	Co
59	27	0	2	0	Co
60	27	0.9	0	4.9	Co
61	27	0	0.7	0	Co
62	27	0.4	0	1	Co
63	27	0	0.3	0	Co
64	27	0.1	0	0.3	Co
65	27	0	0.1	0	Co
66	27	0	0	0.1	Co
67	27	0	0	0	Co
69	27	0	0	0	Co
31	28	0	0	0	Ni
35	28	0	0	0	Ni
37	28	0	0	0	Ni
38	28	0	0	0	Ni
39	28	0	0	0	Ni
40	28	0	0	0	Ni
41	28	0.9	0	0	Ni
42	28	0.8	0	0	Ni
43	28	2.5	0.5	0	Ni
44	28	3.1	0.2	0	Ni
45	28	4.9	1.1	0.2	Ni
46	28	6.9	0.7	0.2	Ni
47	28	21.6	1.7	0.4	Ni
48	28	29	1	0.5	Ni
49	28	58.8	4.6	0.6	Ni
50	28	64.8	3.8	0.9	Ni
51	28	18.7	35.7	0.8	Ni
52	28	25.5	30	3.7	Ni
53	28	10.9	33.2	14.9	Ni
54	28	18.4	6.8	28.1	Ni
55	28	9.6	17.8	8.5	Ni
56	28	15.2	10.9	13.9	Ni
57	28	11.5	20.5	6.1	Ni
58	28	19.7	7.6	9.2	Ni
59	28	9.5	26.4	4.1	Ni
60	28	23.4	6	11.4	Ni
61	28	3.4	27.6	10	Ni
62	28	12	13.6	45.2	Ni
63	28	0.7	3.6	5.1	Ni
64	28	5.7	1.4	20.6	Ni
65	28	0	1.4	0.3	Ni
66	28	1.7	0.2	4.5	Ni
67	28	0	0.3	0	Ni
68	28	0	0	0.6	Ni
69	28	0	0	0	Ni
35	29	0	0	0	Cu
37	29	0	0	0	Cu
38	29	0	0	0	Cu
39	29	0	0	0	Cu
40	29	0	0	0	Cu
41	29	1.6	0	0	Cu
42	29	1.9	0	0	Cu
43	29	3.8	0.7	0	Cu
44	29	9.6	0.4	0	Cu
45	29	14.5	1.4	0.3	Cu
46	29	49.9	0.9	0.3	Cu
47	29	58.8	2.4	0.4	Cu
48	29	69.7	1.4	0.6	Cu
49	29	65.6	7.3	0.6	Cu
50	29	77.4	4.3	1	Cu
51	29	17.5	41.7	0.8	Cu
52	29	41.7	31	4.3	Cu
53	29	22.8	34.1	17.1	Cu
54	29	44.6	8.9	27.2	Cu
55	29	17	35.8	4.8	Cu
56	29	43.4	14	11.1	Cu
57	29	7.8	49.6	4	Cu
58	29	31.4	23.5	13.4	Cu
59	29	2.3	44.8	9.5	Cu
60	29	18.3	16	27.4	Cu
61	29	0.3	8.2	6.7	Cu
62	29	3.5	1.1	50.2	Cu
63	29	0.1	2.5	1.2	Cu
64	29	1.7	0.3	10.2	Cu
65	29	0	1.2	0	Cu
66	29	0.8	0	2.9	Cu
67	29	0	0.4	0	Cu
68	29	0.3	0	0.8	Cu
69	29	0	0.2	0	Cu
70	29	0	0	0.2	Cu
71	29	0	0	0	Cu
73	29	0	0	0	Cu
35	30	0	0	0	Zn
39	30	0	0	0	Zn
41	30	0	0	0	Zn
42	30	0	0	0	Zn
43	30	0	0	0	Zn
44	30	0	0	0	Zn
45	30	1.2	0	0	Zn
46	30	1.6	0	0	Zn
47	30	2.6	0.7	0	Zn
48	30	4	0.4	0	Zn
49	30	10.5	1.3	0.3	Zn
50	30	30.8	1	0.5	Zn
51	30	26.8	2.2	0.4	Zn
52	30	39.3	2	0.6	Zn
53	30	34.6	14.4	0.8	Zn
54	30	12.3	16.4	2.3	Zn
55	30	12	17.7	5.1	Zn
56	30	13.5	10	10	Zn
57	30	19.9	9	12.1	Zn
58	30	16.8	4.5	14.2	Zn
59	30	27.4	11.3	4.2	Zn
60	30	22.2	4	9.2	Zn
61	30	20.8	57.7	3.3	Zn
62	30	65	6	3.5	Zn
63	30	6.2	64.3	11.3	Zn
64	30	51.7	20.2	6.3	Zn
65	30	1.8	20.1	39.3	Zn
66	30	15.9	33.3	28.5	Zn
67	30	0.7	4.9	5.7	Zn
68	30	6.5	5	41.8	Zn
69	30	0	2.2	1	Zn
70	30	2.2	1.2	5.8	Zn
71	30	0	0.4	0.2	Zn
72	30	0.1	0	0.8	Zn
73	30	0	0	0	Zn
75	30	0	0	0	Zn
39	31	0	0	0	Ga
41	31	0	0	0	Ga
42	31	0	0	0	Ga
43	31	0	0	0	Ga
44	31	0.9	0	0	Ga
45	31	2	0.2	0	Ga
46	31	2.5	0	0	Ga
47	31	2.3	0.8	0	Ga
48	31	6.4	0.5	0	Ga
49	31	21.9	1.3	0.3	Ga
50	31	58.8	1.1	0.5	Ga
51	31	29.3	2.9	0.3	Ga
52	31	65.5	3.6	0.7	Ga
53	31	52.6	20.5	0.9	Ga
54	31	75.3	5.8	3.1	Ga
55	31	43.5	36.2	2.9	Ga
56	31	79.7	5.1	4.5	Ga
57	31	22.8	61.4	2.1	Ga
58	31	61	7.3	13.7	Ga
59	31	17.7	49.5	3.1	Ga
60	31	69.4	15.5	5.8	Ga
61	31	3.4	79.4	4.7	Ga
62	31	31.9	47.1	10.5	Ga
63	31	1.4	54.8	25.5	Ga
64	31	10.5	24.9	52.4	Ga
65	31	0.6	10.3	17.7	Ga
66	31	5	5.1	69.3	Ga
67	31	0.2	3.4	2.8	Ga
68	31	2.6	1.3	20.7	Ga
69	31	0	1.5	0.3	Ga
70	31	1.3	0.2	6.4	Ga
71	31	0	0.5	0	Ga
72	31	0.3	0	1	Ga
73	31	0	0.2	0	Ga
74	31	0	0	0.2	Ga
75	31	0	0	0	Ga
77	31	0	0	0	Ga
39	32	0	0	0	Ge
43	32	0	0	0	Ge
45	32	0	0	0	Ge
46	32	0	0	0	Ge
47	32	0.5	0	0	Ge
48	32	0.2	0	0	Ge
49	32	1.2	0.2	0	Ge
50	32	2.1	0.1	0	Ge
51	32	2.4	0.8	0.2	Ge
52	32	8.2	0.7	0.3	Ge
53	32	8.4	2.5	0.4	Ge
54	32	8.5	1.1	0.7	Ge
55	32	8.1	3.1	0.5	Ge
56	32	8.4	1.6	0.7	Ge
57	32	11.9	3.6	0.6	Ge
58	32	9.1	1.8	0.8	Ge
59	32	20.7	4	1.1	Ge
60	32	12.6	1.8	1.4	Ge
61	32	39.5	6	1.7	Ge
62	32	17.1	2	2	Ge
63	32	61.1	14.1	1.7	Ge
64	32	45.2	2.7	2.6	Ge
65	32	28.2	53.2	2.8	Ge
66	32	65.1	5	3	Ge
67	32	7.7	66.4	10.4	Ge
68	32	57.3	16.1	5.2	Ge
69	32	2	21.7	42.7	Ge
70	32	15.8	39.8	23.1	Ge
71	32	0.8	4.7	6.1	Ge
72	32	4.3	4.3	25.8	Ge
73	32	0	1.9	1	Ge
74	32	1.3	0.6	3.6	Ge
75	32	0	0.5	0.2	Ge
76	32	0.2	0	1.1	Ge
77	32	0	0.1	0	Ge
78	32	0	0	0.1	Ge
79	32	0	0	0	Ge
43	33	0	0	0	As
44	33	0	0	0	As
45	33	0	0	0	As
46	33	0	0	0	As
47	33	1.4	0	0	As
48	33	1.6	0	0	As
49	33	1.9	0.5	0	As
50	33	3	0.3	0	As
51	33	4.2	1	0.2	As
52	33	60	1	0.5	As
53	33	59.7	3.8	0.5	As
54	33	74.1	1.6	0.9	As
55	33	62.8	5	0.6	As
56	33	77.5	1.8	1	As
57	33	71.7	6.9	0.7	As
58	33	80.9	2.2	1.3	As
59	33	73.3	10.7	1.2	As
60	33	83.4	2.7	1.9	As
61	33	53.6	32.5	1.4	As
62	33	82.7	4.4	2.6	As
63	33	12.6	75.2	1.9	As
64	33	77.4	9.8	3.8	As
65	33	4.1	81.2	4.3	As
66	33	41.3	41.8	7.8	As
67	33	1.9	49.2	34.3	As
68	33	13	37.9	38.3	As
69	33	0.6	13	19.1	As
70	33	5.6	7	70.6	As
71	33	0.2	2.9	3.3	As
72	33	1.9	1.4	14.8	As
73	33	0	1.2	0.4	As
74	33	0.8	0.1	3.6	As
75	33	0	0.5	0.1	As
76	33	0.3	0	1	As
77	33	0	0.2	0	As
78	33	0.1	0	0.3	As
79	33	0	0	0	As
81	33	0	0	0	As
41	34	0	0	0	Se
45	34	0	0	0	Se
47	34	0	0	0	Se
49	34	0	0	0	Se
50	34	0	0	0	Se
51	34	1.4	0.3	0	Se
52	34	3.8	0.3	0	Se
53	34	3.5	1.3	0.2	Se
54	34	3.9	0.7	0.4	Se
55	34	3.6	1.3	0.3	Se
56	34	3.7	0.7	0.4	Se
57	34	4.3	1.4	0.4	Se
58	34	4	0.7	0.5	Se
59	34	6.1	1.7	0.5	Se
60	34	4.6	0.9	0.5	Se
61	34	6.1	2.4	0.5	Se
62	34	5.5	1.2	0.6	Se
63	34	17.1	3.4	0.8	Se
64	34	8.4	1.7	0.8	Se
65	34	49.7	5.5	1.4	Se
66	34	21.8	2	1.6	Se
67	34	67.1	14.1	2	Se
68	34	50.1	2.8	2.6	Se
69	34	19.8	63.3	2.7	Se
70	34	67.1	5.1	3.2	Se
71	34	5.2	64.4	15.6	Se
72	34	34.1	41.3	7.2	Se
73	34	1.6	14.5	37.7	Se
74	34	7.6	13.9	56.7	Se
75	34	0.6	3.5	4.4	Se
76	34	3	2.3	15.6	Se
77	34	0.1	1.8	1	Se
78	34	1.5	0.4	3.2	Se
79	34	0	0.6	0.4	Se
80	34	0.6	0.1	1	Se
81	34	0	0.2	0	Se
82	34	0	0	0.4	Se
83	34	0	0	0	Se
45	35	0	0	0	Br
47	35	0	0	0	Br
48	35	0	0	0	Br
49	35	0	0	0	Br
50	35	1.1	0	0	Br
51	35	2.1	0.6	0	Br
52	35	16.2	0.7	0	Br
53	35	12.1	1.9	0.4	Br
54	35	24	0.9	0.6	Br
55	35	14.4	2.1	0.4	Br
56	35	23.7	1	0.6	Br
57	35	19.2	2.5	0.4	Br
58	35	29.9	1.1	0.7	Br
59	35	55.2	3	0.6	Br
60	35	55	1.3	0.8	Br
61	35	48.3	4.6	0.5	Br
62	35	70.9	1.7	0.9	Br
63	35	76	8.3	0.9	Br
64	35	81.2	2.4	1.4	Br
65	35	61.2	26.6	1.4	Br
66	35	83.9	4	2.3	Br
67	35	12.9	76.1	2.2	Br
68	35	78.8	9.3	3.6	Br
